"Owner Role","Opportunity Owner","Account Name","Opportunity Name","Stage","Fiscal Period","Amount","Expected Revenue","Probability (%)","Age","Close Date","Created Date","Next Step","Lead Source","Type"
"","Nicolas Weaver","Myers581 Inc","Opportunity for Harmon1481","Closed Won","Q1-2022","1738370.00","1738370.00","100","2363.0000000000","19/08/2029","01/03/2023","","Word of mouth","New Business"
"","Eric Gutierrez","Fleming710 Inc","Opportunity for Stone1492","Closed Lost","Q4-2021","3163400.00","0.00","0","2304.0000000000","21/06/2029","01/03/2023","","Word of mouth","New Business"
"","Eric Sanchez","Fletcher234 Inc","Opportunity for Reed1483","Closed Won","Q1-2022","1755000.00","1755000.00","100","2387.0000000000","12/09/2029","01/03/2023","","Employee Referral","New Business"
"","Kelly Frazier","Nichols134 Inc","Opportunity for Klein1486","Prospecting","Q4-2022","431073.00","43107.30","10","313.0000000000","29/04/2030","01/03/2023","","Employee Referral","New Business"
"CIO","Julie Chavez","Hines651 Inc","Opportunity for Barnes1852","Closed Lost","Q1-2022","1635400.00","0.00","0","2358.0000000000","14/08/2029","01/03/2023","","Web","New Business"
"","Irene Kelley","Cummings220 Inc","Opportunity for Johnston1857","Closed Won","Q1-2022","163800.00","163800.00","100","2346.0000000000","02/08/2029","01/03/2023","","Employee Referral","New Business / Add-on"
"","Harold Campbell","Morales41 Inc","Opportunity for Smith1859","Negotiation/Review","Q4-2022","1261290.00","1135161.00","90","313.0000000000","28/06/2030","01/03/2023","","Word of mouth","New Business"
"CIO","Julie Chavez","Coleman170 Inc","Opportunity for Hill1534","Closed Won","Q4-2021","3298750.00","3298750.00","100","2265.0000000000","13/05/2029","01/03/2023","","Trade Show","New Business / Add-on"
"","Evelyn Williamson","Carr43 Inc","Opportunity for Edwards1901","Closed Won","Q3-2022","994680.00","994680.00","100","2503.0000000000","06/01/2030","01/03/2023","","Public Relations","New Business / Add-on"
"","Bruce Kennedy","Joseph730 Inc","Opportunity for Stevenson1907","Value Proposition","Q3-2022","28440.00","14220.00","50","313.0000000000","27/03/2030","01/03/2023","","Employee Referral","New Business / Add-on"
"","Irene Kelley","Colon817 Inc","Opportunity for Aguilar1908","Closed Won","Q4-2021","3314900.00","3314900.00","100","2296.0000000000","13/06/2029","01/03/2023","","Trade Show","Existing Business"
"","Chris Riley","Hampton15 Inc","Opportunity for Holt1914","Closed Won","Q4-2021","125325.00","125325.00","100","2235.0000000000","13/04/2029","01/03/2023","","Word of mouth","New Business"
"","Kelly Frazier","Ford835 Inc","Opportunity for Anderson1911","Closed Lost","Q2-2022","1684910.00","0.00","0","2482.0000000000","16/12/2029","01/03/2023","","Web","New Business / Add-on"
"","Eric Gutierrez","Robinson912 Inc","Opportunity for Chandler1913","Closed Won","Q2-2022","482760.00","482760.00","100","2498.0000000000","01/01/2030","01/03/2023","","Advertisement","New Business / Add-on"
"","Irene Kelley","Webb96 Inc","Opportunity for Walsh1918","Proposal/Price Quote","Q4-2022","179700.00","134775.00","75","313.0000000000","26/05/2030","01/03/2023","","Word of mouth","New Business / Add-on"
"CIO","Julie Chavez","Gordon294 Inc","Opportunity for Gordon1919","Closed Won","Q2-2022","975175.00","975175.00","100","2458.0000000000","22/11/2029","01/03/2023","","Employee Referral","New Business"
"","Johnny Green","Watts76 Inc","Opportunity for White1920","Closed Lost","Q2-2022","1535500.00","0.00","0","2488.0000000000","22/12/2029","01/03/2023","","Partner","New Business"
"","Irene Kelley","McKinney995 Inc","Opportunity for Powers1925","Closed Lost","Q1-2022","213440.00","0.00","0","2344.0000000000","31/07/2029","01/03/2023","","Partner","New Business / Add-on"
"","Evelyn Williamson","Silva224 Inc","Opportunity for Lloyd424","Closed Won","Q1-2022","389648.00","389648.00","100","2384.0000000000","09/09/2029","01/03/2023","","Employee Referral","New Business"
"","Evelyn Williamson","Jensen353 Inc","Opportunity for Reyes426","Qualification","Q4-2022","830400.00","83040.00","10","313.0000000000","29/04/2030","01/03/2023","","Seminar - Internal","New Business"
"","John Williams","Bowman347 Inc","Opportunity for Mendoza431","Closed Lost","Q2-2022","3615050.00","0.00","0","2442.0000000000","06/11/2029","01/03/2023","","Word of mouth","New Business"
"","Johnny Green","Haynes623 Inc","Opportunity for Santiago590","Closed Lost","Q1-2022","57510.00","0.00","0","2408.0000000000","03/10/2029","01/03/2023","","Trade Show","Existing Business"
"","Eric Sanchez","Adkins907 Inc","Opportunity for Morton591","Proposal/Price Quote","Q3-2022","1741100.00","1305825.00","75","313.0000000000","16/03/2030","01/03/2023","","Word of mouth","New Business / Add-on"
"","Laura Palmer","Phillips552 Inc","Opportunity for Conner5","Qualification","Q4-2022","32400.00","3240.00","10","313.0000000000","11/05/2030","01/03/2023","","Employee Referral","Existing Business"
"","Bruce Kennedy","Scott708 Inc","Opportunity for Wise361","Needs Analysis","Q1-2023","1595250.00","319050.00","20","313.0000000000","15/07/2030","01/03/2023","","Word of mouth","New Business"
"","Harold Campbell","Hart828 Inc","Opportunity for Hunt362","Closed Won","Q2-2022","1148850.00","1148850.00","100","2499.0000000000","02/01/2030","01/03/2023","","Employee Referral","New Business"
"","Irene McCoy","Carlson744 Inc","Opportunity for Scott363","Perception Analysis","Q3-2022","788800.00","552160.00","70","313.0000000000","01/04/2030","01/03/2023","","Seminar - Internal","New Business / Add-on"
"","Evelyn Williamson","Ross364 Inc","Opportunity for Love368","Closed Won","Q2-2022","390885.00","390885.00","100","2422.0000000000","17/10/2029","01/03/2023","","Partner","New Business / Add-on"
"","Irene McCoy","King177 Inc","Opportunity for Rios369","Closed Lost","Q4-2021","112725.00","0.00","0","2229.0000000000","07/04/2029","01/03/2023","","Web","New Business / Add-on"
"","Irene Kelley","Padilla472 Inc","Opportunity for Gordon370","Closed Won","Q2-2022","179225.00","179225.00","100","2489.0000000000","23/12/2029","01/03/2023","","Word of mouth","New Business"
"","Nicolas Weaver","Benson346 Inc","Opportunity for Zimmerman1763","Qualification","Q4-2022","4747520.00","474752.00","10","313.0000000000","19/04/2030","01/03/2023","","Public Relations","New Business"
"CEO","Damiana Spadafora","Cummings974 Inc","Opportunity for James1768","Closed Won","Q3-2021","1386250.00","1386250.00","100","2202.0000000000","11/03/2029","01/03/2023","","Word of mouth","New Business / Add-on"
"CEO","Damiana Spadafora","Hill463 Inc","Opportunity for Barton1764","Value Proposition","Q4-2022","3209120.00","1604560.00","50","313.0000000000","27/06/2030","01/03/2023","","Partner","New Business"
"CIO","Julie Chavez","Anderson638 Inc","Opportunity for Ramirez1767","Closed Won","Q3-2022","3440.00","3440.00","100","2519.0000000000","22/01/2030","01/03/2023","","Public Relations","New Business"
"","John Williams","Tucker284 Inc","Opportunity for Abbott636","Closed Won","Q2-2022","121490.00","121490.00","100","2413.0000000000","08/10/2029","01/03/2023","","Word of mouth","New Business"
"","Irene Kelley","Estrada864 Inc","Opportunity for Jefferson638","Closed Won","Q2-2022","719960.00","719960.00","100","2424.0000000000","19/10/2029","01/03/2023","","Trade Show","New Business / Add-on"
"","Evelyn Williamson","West416 Inc","Opportunity for Byrd640","Closed Won","Q1-2022","499928.00","499928.00","100","2366.0000000000","22/08/2029","01/03/2023","","Web","New Business"
"","Harold Campbell","Crawford184 Inc","Opportunity for Frazier644","Qualification","Q3-2022","1528750.00","152875.00","10","313.0000000000","01/04/2030","01/03/2023","","Advertisement","New Business / Add-on"
"","Evelyn Williamson","Reid29 Inc","Opportunity for Carson641","Closed Won","Q1-2022","376955.00","376955.00","100","2340.0000000000","27/07/2029","01/03/2023","","Advertisement","Existing Business"
"","Johnny Green","Holmes945 Inc","Opportunity for Figueroa642","Needs Analysis","Q3-2022","701400.00","140280.00","20","313.0000000000","09/03/2030","01/03/2023","","Seminar - Internal","New Business"
"","Kelly Frazier","Gordon814 Inc","Opportunity for Jensen643","Closed Won","Q4-2021","898800.00","898800.00","100","2273.0000000000","21/05/2029","01/03/2023","","Seminar - Internal","New Business"
"","Dennis Howard","Parks99 Inc","Opportunity for McDonald13","Closed Won","Q3-2021","240747.00","240747.00","100","2154.0000000000","22/01/2029","01/03/2023","","Word of mouth","New Business / Add-on"
"","Irene McCoy","Cortez324 Inc","Opportunity for Jefferson17","Closed Won","Q1-2022","21640.00","21640.00","100","2404.0000000000","29/09/2029","01/03/2023","","Trade Show","New Business / Add-on"
"","Eric Gutierrez","Owens441 Inc","Opportunity for McLaughlin130","Negotiation/Review","Q3-2022","1249000.00","1124100.00","90","313.0000000000","28/03/2030","01/03/2023","","Advertisement","Existing Business"
"","Dennis Howard","Gibson62 Inc","Opportunity for Chandler133","Perception Analysis","Q3-2022","754640.00","528248.00","70","313.0000000000","25/02/2030","01/03/2023","","Trade Show","New Business"
"","Kelly Frazier","Warren653 Inc","Opportunity for Rice134","Closed Won","Q2-2021","243450.00","243450.00","100","2110.0000000000","09/12/2028","01/03/2023","","Word of mouth","New Business"
"","John Williams","Conner513 Inc","Opportunity for Barnes141","Qualification","Q3-2022","363400.00","36340.00","10","313.0000000000","09/03/2030","01/03/2023","","Word of mouth","New Business / Add-on"
"","Bruce Kennedy","Bishop597 Inc","Opportunity for Wagner150","Closed Lost","Q2-2022","2660660.00","0.00","0","2433.0000000000","28/10/2029","01/03/2023","","Employee Referral","Existing Business"
"","Irene McCoy","Martinez649 Inc","Opportunity for Norman145","Closed Won","Q2-2021","800000.00","800000.00","100","2133.0000000000","01/01/2029","01/03/2023","","Seminar - Internal","New Business"
"","Johnny Green","Harris13 Inc","Opportunity for Edwards146","Perception Analysis","Q3-2022","4212140.00","2948498.00","70","313.0000000000","15/03/2030","01/03/2023","","Public Relations","New Business"
"","Nicolas Weaver","Myers581 Inc","Opportunity for Barnett252","Closed Won","Q1-2022","431194.00","431194.00","100","2359.0000000000","15/08/2029","01/03/2023","","Employee Referral","Existing Business"
"","Johnny Green","Roy360 Inc","Opportunity for Ford255","Closed Won","Q3-2021","377690.00","377690.00","100","2224.0000000000","02/04/2029","01/03/2023","","Partner","New Business / Add-on"
"","Irene Kelley","Davidson606 Inc","Opportunity for Cooper256","Closed Lost","Q2-2022","2218900.00","0.00","0","2438.0000000000","02/11/2029","01/03/2023","","Advertisement","Existing Business"
"","Doroth Gardner","Reed186 Inc","Opportunity for Reynolds330","Closed Lost","Q4-2021","276000.00","0.00","0","2280.0000000000","28/05/2029","01/03/2023","","Advertisement","New Business / Add-on"
"","Laura Palmer","Pratt392 Inc","Opportunity for Fletcher332","Value Proposition","Q3-2022","313425.00","156712.50","50","313.0000000000","23/02/2030","01/03/2023","","Employee Referral","New Business / Add-on"
"","Irene Kelley","Morris541 Inc","Opportunity for Thornton1860","Closed Won","Q1-2022","193757.00","193757.00","100","2345.0000000000","01/08/2029","01/03/2023","","Word of mouth","Existing Business"
"","Doroth Gardner","Vaughn229 Inc","Opportunity for Ramsey1863","Closed Won","Q1-2022","1885475.00","1885475.00","100","2376.0000000000","01/09/2029","01/03/2023","","Trade Show","New Business"
"","Irene Kelley","Medina110 Inc","Opportunity for Mathis1864","Needs Analysis","Q4-2022","2628850.00","525770.00","20","313.0000000000","23/04/2030","01/03/2023","","Public Relations","New Business"
"","Chris Riley","Shaw160 Inc","Opportunity for Price1866","Closed Won","Q1-2022","466000.00","466000.00","100","2387.0000000000","12/09/2029","01/03/2023","","Partner","New Business"
"","Kelly Frazier","Vega214 Inc","Opportunity for Fernandez851","Closed Won","Q2-2022","352350.00","352350.00","100","2491.0000000000","25/12/2029","01/03/2023","","Employee Referral","Existing Business"
"","Johnny Green","Patrick806 Inc","Opportunity for Reeves502","Closed Lost","Q2-2022","439140.00","0.00","0","2417.0000000000","12/10/2029","01/03/2023","","Public Relations","New Business / Add-on"
"","Doroth Gardner","Hoffman761 Inc","Opportunity for Pope508","Closed Lost","Q3-2022","499523.00","0.00","0","2533.0000000000","05/02/2030","01/03/2023","","Partner","New Business / Add-on"
"","Harold Campbell","Robertson5 Inc","Opportunity for Gordon852","Qualification","Q4-2022","762410.00","76241.00","10","313.0000000000","02/06/2030","01/03/2023","","Trade Show","New Business / Add-on"
"","Harold Campbell","Myers448 Inc","Opportunity for Gordon872","Closed Won","Q3-2021","339815.00","339815.00","100","2210.0000000000","19/03/2029","01/03/2023","","Web","New Business / Add-on"
"","John Williams","Watts685 Inc","Opportunity for Rogers1242","Closed Won","Q2-2022","3907275.00","3907275.00","100","2412.0000000000","07/10/2029","01/03/2023","","Trade Show","New Business"
"","Laura Palmer","Nash380 Inc","Opportunity for Newton1243","Closed Won","Q4-2021","288925.00","288925.00","100","2286.0000000000","03/06/2029","01/03/2023","","Seminar - Internal","New Business / Add-on"
"","Nicolas Weaver","Greer831 Inc","Opportunity for Duncan681","Closed Won","Q3-2021","63600.00","63600.00","100","2200.0000000000","09/03/2029","01/03/2023","","Word of mouth","New Business"
"","Chris Riley","Robinson912 Inc","Opportunity for Manning1045","Closed Won","Q3-2021","16843.00","16843.00","100","2168.0000000000","05/02/2029","01/03/2023","","Trade Show","New Business / Add-on"
"","Chris Riley","Ross388 Inc","Opportunity for Colon1047","Value Proposition","Q3-2022","680.00","340.00","50","313.0000000000","27/02/2030","01/03/2023","","Web","New Business / Add-on"
"","Harold Campbell","Bowman940 Inc","Opportunity for Vega1066","Perception Analysis","Q3-2022","201572.00","141100.40","70","313.0000000000","10/03/2030","01/03/2023","","Partner","New Business / Add-on"
"","Irene Kelley","Rowe333 Inc","Opportunity for McKenzie1054","Closed Won","Q2-2022","1224345.00","1224345.00","100","2420.0000000000","15/10/2029","01/03/2023","","Partner","Existing Business"
"","John Williams","Rivera969 Inc","Opportunity for Webb1055","Closed Lost","Q3-2021","1264240.00","0.00","0","2210.0000000000","19/03/2029","01/03/2023","","Partner","New Business / Add-on"
"","Chris Riley","Dunn368 Inc","Opportunity for Hart1061","Closed Won","Q2-2021","258140.00","258140.00","100","2124.0000000000","23/12/2028","01/03/2023","","Web","New Business"
"","Doroth Gardner","Robbins449 Inc","Opportunity for Love1426","Closed Lost","Q1-2022","2649820.00","0.00","0","2355.0000000000","11/08/2029","01/03/2023","","Trade Show","New Business"
"","Nicolas Weaver","Greer746 Inc","Opportunity for Flowers1427","Needs Analysis","Q1-2023","1979000.00","395800.00","20","313.0000000000","25/08/2030","01/03/2023","","Trade Show","New Business / Add-on"
"","Nicolas Weaver","Morales41 Inc","Opportunity for Keller1431","Needs Analysis","Q3-2022","2894390.00","578878.00","20","313.0000000000","14/03/2030","01/03/2023","","Trade Show","New Business"
"","Irene McCoy","Black702 Inc","Opportunity for Conner1442","Closed Lost","Q1-2022","449660.00","0.00","0","2338.0000000000","25/07/2029","01/03/2023","","Employee Referral","Existing Business"
"","Johnny Green","West706 Inc","Opportunity for Harrington373","Closed Won","Q2-2022","22240.00","22240.00","100","2437.0000000000","01/11/2029","01/03/2023","","Employee Referral","New Business"
"","Chris Riley","McGuire26 Inc","Opportunity for Pearson374","Closed Won","Q2-2022","62400.00","62400.00","100","2482.0000000000","16/12/2029","01/03/2023","","Partner","New Business"
"","John Williams","Perkins198 Inc","Opportunity for Clayton375","Closed Won","Q2-2022","657600.00","657600.00","100","2417.0000000000","12/10/2029","01/03/2023","","Partner","New Business"
"","Bruce Kennedy","Lowe496 Inc","Opportunity for McCormick23","Negotiation/Review","Q1-2023","744440.00","669996.00","90","313.0000000000","19/07/2030","01/03/2023","","Trade Show","New Business"
"","Doroth Gardner","Banks379 Inc","Opportunity for Mathis376","Closed Won","Q4-2021","637520.00","637520.00","100","2313.0000000000","30/06/2029","01/03/2023","","Advertisement","New Business"
"","Harold Campbell","Barnett543 Inc","Opportunity for Gray19","Closed Won","Q3-2021","690210.00","690210.00","100","2193.0000000000","02/03/2029","01/03/2023","","Public Relations","New Business"
"CEO","Damiana Spadafora","Duncan433 Inc","Opportunity for Hawkins22","Prospecting","Q3-2022","136464.00","13646.40","10","313.0000000000","03/03/2030","01/03/2023","","Advertisement","New Business"
"CEO","Damiana Spadafora","Vega718 Inc","Opportunity for Cox29","Closed Won","Q2-2022","2345840.00","2345840.00","100","2465.0000000000","29/11/2029","01/03/2023","","Trade Show","Existing Business"
"","Irene Kelley","Smith558 Inc","Opportunity for Nunez37","Closed Lost","Q3-2022","809810.00","0.00","0","2526.0000000000","29/01/2030","01/03/2023","","Partner","New Business / Add-on"
"","Nicolas Weaver","Tucker284 Inc","Opportunity for Bass32","Closed Won","Q4-2021","4010350.00","4010350.00","100","2310.0000000000","27/06/2029","01/03/2023","","Employee Referral","New Business / Add-on"
"","Doroth Gardner","Watts685 Inc","Opportunity for Butler33","Perception Analysis","Q1-2023","8577295.00","6004106.50","70","313.0000000000","10/07/2030","01/03/2023","","Trade Show","New Business / Add-on"
"","Evelyn Williamson","Wade723 Inc","Opportunity for Alvarez35","Closed Won","Q3-2022","266400.00","266400.00","100","2512.0000000000","15/01/2030","01/03/2023","","Trade Show","Existing Business"
"","Eric Sanchez","Bennett519 Inc","Opportunity for Wilkins38","Closed Won","Q3-2022","980500.00","980500.00","100","2524.0000000000","27/01/2030","01/03/2023","","Partner","New Business / Add-on"
"","Laura Palmer","Rogers668 Inc","Opportunity for Stevens152","Closed Lost","Q1-2022","11883.00","0.00","0","2382.0000000000","07/09/2029","01/03/2023","","Web","Existing Business"
"CEO","Damiana Spadafora","Stevenson954 Inc","Opportunity for Vega154","Closed Lost","Q1-2022","77270.00","0.00","0","2401.0000000000","26/09/2029","01/03/2023","","Public Relations","New Business"
"","Laura Palmer","Rios384 Inc","Opportunity for Moss156","Negotiation/Review","Q4-2022","857500.00","771750.00","90","313.0000000000","18/04/2030","01/03/2023","","Web","New Business / Add-on"
"","Eric Gutierrez","Brewer763 Inc","Opportunity for Hunt157","Closed Won","Q2-2021","353136.00","353136.00","100","2101.0000000000","30/11/2028","01/03/2023","","Employee Referral","New Business"
"","Eric Gutierrez","Keller1 Inc","Opportunity for Shaw336","Qualification","Q4-2022","389120.00","38912.00","10","313.0000000000","14/05/2030","01/03/2023","","Employee Referral","New Business / Add-on"
"CEO","Damiana Spadafora","Holloway471 Inc","Opportunity for Roy337","Closed Won","Q4-2021","1241600.00","1241600.00","100","2288.0000000000","05/06/2029","01/03/2023","","Partner","New Business"
"","Bruce Kennedy","Walsh54 Inc","Opportunity for Brooks342","Closed Won","Q2-2022","5280.00","5280.00","100","2435.0000000000","30/10/2029","01/03/2023","","Partner","New Business"
"","Catherine Brown","Russell560 Inc","Opportunity for Gomez345","Closed Lost","Q2-2022","3145700.00","0.00","0","2453.0000000000","17/11/2029","01/03/2023","","Partner","New Business"
"","Eric Sanchez","West49 Inc","Opportunity for Lamb346","Closed Lost","Q1-2022","1668500.00","0.00","0","2336.0000000000","23/07/2029","01/03/2023","","Partner","New Business"
"","Irene Kelley","Simmons663 Inc","Opportunity for Christensen684","Qualification","Q4-2022","624510.00","62451.00","10","313.0000000000","18/05/2030","01/03/2023","","Partner","Existing Business"
"","Laura Palmer","Marsh836 Inc","Opportunity for Murray689","Closed Lost","Q2-2022","2135800.00","0.00","0","2413.0000000000","08/10/2029","01/03/2023","","Employee Referral","New Business"
"","Nicolas Weaver","Schmidt289 Inc","Opportunity for Gomez694","Closed Lost","Q2-2022","452200.00","0.00","0","2440.0000000000","04/11/2029","01/03/2023","","Employee Referral","New Business / Add-on"
"","Eric Sanchez","Stokes935 Inc","Opportunity for McKenzie695","Closed Lost","Q2-2022","538820.00","0.00","0","2478.0000000000","12/12/2029","01/03/2023","","Word of mouth","New Business"
"","Chris Riley","Fletcher429 Inc","Opportunity for Malone696","Negotiation/Review","Q3-2022","137400.00","123660.00","90","313.0000000000","18/03/2030","01/03/2023","","Employee Referral","New Business / Add-on"
"","Evelyn Williamson","Weaver350 Inc","Opportunity for Ingram699","Closed Lost","Q2-2022","2669875.00","0.00","0","2495.0000000000","29/12/2029","01/03/2023","","Trade Show","Existing Business"
"CEO","Damiana Spadafora","Ellis327 Inc","Opportunity for Swanson1068","Negotiation/Review","Q4-2022","248276.00","223448.40","90","313.0000000000","09/06/2030","01/03/2023","","Seminar - Internal","New Business"
"","Chris Riley","Ross559 Inc","Opportunity for Moore1870","Closed Won","Q3-2021","165920.00","165920.00","100","2138.0000000000","06/01/2029","01/03/2023","","Word of mouth","New Business / Add-on"
"","Eric Gutierrez","Carr43 Inc","Opportunity for Foster1871","Closed Won","Q2-2021","1628800.00","1628800.00","100","2114.0000000000","13/12/2028","01/03/2023","","Employee Referral","New Business"
"","Kelly Frazier","Mendez595 Inc","Opportunity for McDaniel1873","Closed Won","Q4-2021","3694000.00","3694000.00","100","2233.0000000000","11/04/2029","01/03/2023","","Web","New Business"
"","Catherine Brown","Lynch943 Inc","Opportunity for Gibbs1874","Proposal/Price Quote","Q4-2022","2058100.00","1543575.00","75","313.0000000000","12/04/2030","01/03/2023","","Trade Show","New Business / Add-on"
"","Irene Kelley","Moran300 Inc","Opportunity for Medina1876","Needs Analysis","Q1-2023","2859100.00","571820.00","20","313.0000000000","27/08/2030","01/03/2023","","Word of mouth","Existing Business"
"CEO","Damiana Spadafora","Graham11 Inc","Opportunity for Kim733","Closed Won","Q2-2022","238018.00","238018.00","100","2475.0000000000","09/12/2029","01/03/2023","","Advertisement","New Business"
"CEO","Damiana Spadafora","Doyle59 Inc","Opportunity for Curry734","Qualification","Q4-2022","40380.00","4038.00","10","313.0000000000","14/04/2030","01/03/2023","","Partner","New Business / Add-on"
"","Kelly Frazier","Benson346 Inc","Opportunity for Schultz736","Closed Lost","Q3-2021","324200.00","0.00","0","2175.0000000000","12/02/2029","01/03/2023","","Word of mouth","New Business"
"","John Williams","Summers987 Inc","Opportunity for Garner740","Perception Analysis","Q4-2022","155600.00","108920.00","70","313.0000000000","08/04/2030","01/03/2023","","Employee Referral","New Business / Add-on"
"","John Williams","Butler249 Inc","Opportunity for Watts745","Closed Won","Q3-2021","676500.00","676500.00","100","2195.0000000000","04/03/2029","01/03/2023","","Public Relations","New Business / Add-on"
"","Evelyn Williamson","Cobb132 Inc","Opportunity for Freeman746","Closed Won","Q1-2022","1411200.00","1411200.00","100","2358.0000000000","14/08/2029","01/03/2023","","Word of mouth","New Business"
"","John Williams","Erickson874 Inc","Opportunity for Hopkins747","Closed Won","Q2-2022","218798.00","218798.00","100","2461.0000000000","25/11/2029","01/03/2023","","Advertisement","New Business"
"","Irene McCoy","Griffith580 Inc","Opportunity for Clayton750","Closed Won","Q1-2022","411166.00","411166.00","100","2349.0000000000","05/08/2029","01/03/2023","","Employee Referral","Existing Business"
"","Bruce Kennedy","Becker755 Inc","Opportunity for Andrews1118","Closed Won","Q3-2021","591520.00","591520.00","100","2223.0000000000","01/04/2029","01/03/2023","","Partner","New Business"
"","John Williams","Harrison279 Inc","Opportunity for Estrada1122","Value Proposition","Q1-2023","466560.00","233280.00","50","313.0000000000","10/07/2030","01/03/2023","","Trade Show","New Business"
"","Catherine Brown","Wilkerson769 Inc","Opportunity for Guerrero433","Closed Won","Q1-2022","274656.00","274656.00","100","2342.0000000000","29/07/2029","01/03/2023","","Advertisement","New Business"
"","Harold Campbell","Gutierrez305 Inc","Opportunity for Estrada781","Closed Won","Q3-2021","2182350.00","2182350.00","100","2204.0000000000","13/03/2029","01/03/2023","","Partner","New Business"
"","Harold Campbell","Carter172 Inc","Opportunity for Dawson434","Closed Won","Q4-2021","2111880.00","2111880.00","100","2295.0000000000","12/06/2029","01/03/2023","","Word of mouth","New Business"
"","Nicolas Weaver","Crawford701 Inc","Opportunity for Ramos435","Closed Won","Q3-2022","2942705.00","2942705.00","100","2530.0000000000","02/02/2030","01/03/2023","","Trade Show","New Business / Add-on"
"","Chris Riley","Lambert452 Inc","Opportunity for Welch436","Closed Won","Q3-2021","520500.00","520500.00","100","2142.0000000000","10/01/2029","01/03/2023","","Seminar - Internal","New Business / Add-on"
"","Evelyn Williamson","Perez590 Inc","Opportunity for Moody784","Closed Won","Q1-2022","82925.00","82925.00","100","2359.0000000000","15/08/2029","01/03/2023","","Public Relations","New Business"
"","John Williams","Phelps304 Inc","Opportunity for Harrison791","Closed Won","Q2-2022","193500.00","193500.00","100","2474.0000000000","08/12/2029","01/03/2023","","Employee Referral","New Business / Add-on"
"","Kelly Frazier","Joseph775 Inc","Opportunity for Phillips797","Closed Won","Q1-2022","1313950.00","1313950.00","100","2341.0000000000","28/07/2029","01/03/2023","","Advertisement","New Business"
"","Catherine Brown","Herrera2 Inc","Opportunity for Blair798","Qualification","Q3-2022","23642.00","2364.20","10","313.0000000000","16/03/2030","01/03/2023","","Employee Referral","New Business / Add-on"
"","John Williams","Bass661 Inc","Opportunity for Beck799","Closed Won","Q2-2022","363453.00","363453.00","100","2489.0000000000","23/12/2029","01/03/2023","","Partner","New Business / Add-on"
"","Nicolas Weaver","Evans674 Inc","Opportunity for Sullivan800","Negotiation/Review","Q3-2022","577250.00","519525.00","90","313.0000000000","02/03/2030","01/03/2023","","Seminar - Internal","New Business"
"","Harold Campbell","Estrada864 Inc","Opportunity for Osborne1170","Closed Won","Q4-2021","71880.00","71880.00","100","2285.0000000000","02/06/2029","01/03/2023","","Trade Show","New Business / Add-on"
"","Catherine Brown","Bailey19 Inc","Opportunity for George802","Closed Won","Q2-2022","214100.00","214100.00","100","2498.0000000000","01/01/2030","01/03/2023","","Advertisement","Existing Business"
"","Nicolas Weaver","Morton537 Inc","Opportunity for Gill1168","Closed Won","Q3-2021","786875.00","786875.00","100","2165.0000000000","02/02/2029","01/03/2023","","Seminar - Internal","New Business"
"","Dennis Howard","Hall230 Inc","Opportunity for Knight1172","Closed Won","Q1-2022","2113750.00","2113750.00","100","2400.0000000000","25/09/2029","01/03/2023","","Partner","New Business"
"","Harold Campbell","Vega20 Inc","Opportunity for Carson1177","Closed Lost","Q2-2022","93733.00","0.00","0","2498.0000000000","01/01/2030","01/03/2023","","Partner","New Business / Add-on"
"","Doroth Gardner","Olson171 Inc","Opportunity for Padilla1183","Closed Won","Q2-2022","66246.00","66246.00","100","2469.0000000000","03/12/2029","01/03/2023","","Employee Referral","New Business"
"","Evelyn Williamson","Webb232 Inc","Opportunity for Parks1244","Closed Won","Q2-2022","436500.00","436500.00","100","2458.0000000000","22/11/2029","01/03/2023","","Public Relations","Existing Business"
"","Kelly Frazier","Cox450 Inc","Opportunity for Hall1246","Value Proposition","Q3-2022","937550.00","468775.00","50","313.0000000000","21/02/2030","01/03/2023","","Word of mouth","New Business / Add-on"
"","Bruce Kennedy","Hart828 Inc","Opportunity for Cole1249","Perception Analysis","Q3-2022","50890.00","35623.00","70","313.0000000000","21/02/2030","01/03/2023","","Advertisement","New Business / Add-on"
"","Eric Sanchez","Fox517 Inc","Opportunity for Morton1251","Closed Won","Q1-2022","25095.00","25095.00","100","2389.0000000000","14/09/2029","01/03/2023","","Seminar - Internal","New Business"
"","Laura Palmer","Hughes308 Inc","Opportunity for Delgado1258","Closed Lost","Q4-2021","2129900.00","0.00","0","2283.0000000000","31/05/2029","01/03/2023","","Employee Referral","New Business / Add-on"
"","Catherine Brown","Cross858 Inc","Opportunity for Terry1604","Closed Won","Q2-2021","259500.00","259500.00","100","2129.0000000000","28/12/2028","01/03/2023","","Seminar - Internal","New Business"
"","Chris Riley","May967 Inc","Opportunity for Cook1618","Closed Lost","Q3-2022","835870.00","0.00","0","2507.0000000000","10/01/2030","01/03/2023","","Web","New Business"
"","Johnny Green","Wade723 Inc","Opportunity for Singleton1620","Closed Won","Q1-2022","3057500.00","3057500.00","100","2374.0000000000","30/08/2029","01/03/2023","","Web","New Business"
"","Irene Kelley","Bowers460 Inc","Opportunity for Stanley1623","Closed Won","Q3-2022","15637.00","15637.00","100","2542.0000000000","14/02/2030","01/03/2023","","Trade Show","New Business / Add-on"
